date;tweet;nlikes;nretweets;hashtags
2022-04-23 23:34:39;"""En euros constants, les enseignants français ont perdu entre 15 et 25 % de rémunération au cours des 20 dernières années"".  https://t.co/zONpxR4arl. Et @EmmanuelMacron a choisi de NE PAS nous augmenter. Seulement des miettes pour la première moitié de carrière. Et les autres ?";131;74;[]
2022-04-23 23:29:43;Je viens de rappeler à ma fille et sa mère que si macron est reelu je perds mon job car non vacciné et que donc le robinet financier se ferme;3971;1322;[]
2022-04-23 23:29:13;Ils achètent 20 bouteilles d’huile d’un coup, ils portent des masques en forêt, ils se vaccinent tous les 3 mois, ils veulent emmerder les non-vaccinés… Ils sont, ils sont, ils sont… ……. des électeurs de Macron !;133;50;[]
2022-04-23 23:22:23;Bonsoir @EmmanuelMacron on peut duo sur valo quand ?  https://t.co/YeCwSYbIwT;459;22;[]
2022-04-23 23:20:56;J’ai toujours évité de voter pour les extrêmes. Pour la 1ère fois, je voterai #MLP , car selon moi, ce n’est pas elle qui représente l’extrémisme mais bien #Macron. Il me fait vraiment peur  #MacronDegage  #ReintegrerLesPersonnelsSuspendus   #EffetsSecondaires  #liberte;7433;2095;['mlp', 'macron', 'macrondegage', 'reintegrerlespersonnelssuspendus', 'effetssecondaires', 'liberte']
2022-04-23 23:19:38;Quel risque y a t il a éliminer Macron ? Il coule l’économie, vous ruine , vous rend fous , malades , va déclarer la guerre , ce type est un perverse narcissique qui n’a plus de limites . Ça ne peut pas être pire . Surtout pour le peuple et classes moyennes .;314;127;[]
2022-04-23 23:19:28;🔴🇫🇷Au deuxième tour, on élimine. On élimine Macron donc. 🗳🇫🇷;521;155;[]
2022-04-23 23:18:27;#TousContreMacon  Est ce que la France est devenue un pays de lobotomisés et de lâches pour que les Français oublient tout ce que Macron nous a fait subir et a fait subir à notre pays au cours de ces 5 dernières années ?  Il faut dégager Macron à n'importe quel prix car il est le;184;75;['touscontremacon']
2022-04-23 23:13:41;Dernier dodo avant la réélection de Macron 😅 Courage pour la journée de demain, on arrache le  pansement d'un coup sec et on passe à la suite, c'est à dire les législatives. Le combat commence à peine.   #Melenchon1erMinistre  #Follobackinsoumis;159;47;['melenchon1erministre', 'follobackinsoumis']
2022-04-23 23:13:13;macron a une dégaine de youtuber qui va à la paris games week  https://t.co/J2raBmDTGx;3216;155;[]
