date;tweet;nlikes;nretweets;hashtags
2022-05-05 13:18:10;Toujours pas d'alliance RN, reconquête, Marine le Pen ne mérites vraiment pas son électorat et encore moins celui de Éric Zemmour, je souhaite que le RN chute à grande vitesse, surtout surtout vive Éric Zemmour;7;2;[]
2022-05-05 13:11:48;@EleonoreBez @MLP_officiel SVP... Enlevez les Reconquête.. . Nous avons voté Marine à la demande de Zemmour...;6;2;[]
2022-05-05 13:09:47;Bravo @BCazeneuve pour votre clairvoyance. Le #PS qui sombre dans le magma islamo-gauchiste et indigéniste-woke de #NUPSE signe l’arrêt de mort du parti héritier de Jaurès.  Désormais le peuple c’est Le Pen !  https://t.co/YA56i722C6;8;6;['ps', 'nupse']
2022-05-05 13:06:26;Frédéric Durand : «Eric Zemmour est apparu comme le plus clivant de la droite nationale or c’est tout ce que redoute Marine Le Pen qui essaie de se défaire de l’image de son père» dans #MidiNews  https://t.co/sFzfYN8i9B;19;6;['midinews']
2022-05-05 12:55:08;Fake news complete ! #correctif @KantarFR C'est un baromètre sur la côte d'avenir des politiques rien à voir avec l'intitulé de ce communicant RN. Rappel : Le Pen comme Mélenchon sont bien, en revanche dans le TOP 6 des politiques les plus détestes des Français.;13;3;['correctif']
2022-05-05 12:51:12;🔴 J’étais ce matin à #LaFerteGaucher où j’ai remercié les électeurs qui ont porté @MLP_officiel à 59,08% des suffrages !   Ici aussi les habitants veulent un député qui leur ressemble ! #circo7704 #JeVoteRN #legislative2022  https://t.co/Tyc8AFtLrX;13;9;['lafertegaucher', 'circo7704', 'jevotern', 'legislative2022']
2022-05-05 12:48:41;🔴 INFO - Marine Le Pen troisième personnalité politique préférée des Français avec 35% (+3) de bonnes opinions, devant Mélenchon (29%) et Castex (24%) (Kantar) #JeVoteRN;106;32;['jevotern']
2022-05-05 12:41:51;Comment quand on se dit socialiste et « profondément européenne » peut-on se ranger derrière @JLMelenchon personnalité politique française la plus europhobe qui soit avec @MLP_officiel ?   La déroute idéologique et morale est totale!;69;23;[]
2022-05-05 12:40:53;@EleonoreBez @MLP_officiel Facile ce sont les électeurs de reconquête ! Elle n’a pas avancé d’un pouce . Seul son compte en banque va s’équilibrer ! Il y aura 5/6 député RN au final ! Quel gâchis ,UNION POPULAIRE 🇫🇷;6;0;[]
2022-05-05 12:33:27;Bon, y’en a qui ont des conseils pour gérer et traiter les plaques de psoriasis ? (finalement c’est pas de l’eczéma)  Pas merci Macron et Le Pen.;12;7;[]
2022-05-05 12:30:04;Les familles Marseillaises déjà très appauvries souffrent incroyablement de l’immigration clandestine.  L’expulsion de ces clandestins est urgente. @MLP_officiel a raison.  #Squat #parcKalliste #Marseille  https://t.co/cgKER3WeMS;13;9;['squat', 'parckalliste', 'marseille']
2022-05-05 12:24:24;Le squat de Parc Kalliste à #Marseille où la mafia des clandestins nigérians fait régner la terreur pourrait être immédiatement fermé : par l’expulsion de ces clandestins ! C’est exactement ce que @MLP_officiel a dit pendant toute la campagne !  https://t.co/VyQ3qbfkAt;26;9;['marseille']
2022-05-05 12:21:24;@alainsobione3 J'ai honte d'avoir voté pour @MLP_officiel au 2nd tour alors qu'elle ne pense qu'à sauver un parti plutôt que sauver la France. Prétendument de Droite avec un programme économique qui fait penser au communisme de #GeorgesMarchais;22;4;['georgesmarchais']
2022-05-05 12:17:56;L'union des gauches est à combattre autant que l'union des nationalistes de Le Pen et Zemmour. Si vous regardez plusieurs idées des 2 chefs des unions, d'un côté Le Pen et de l'autre Melenchon, il n'y a pas de grande différence.;90;32;[]
2022-05-05 12:17:00;Le soutien d'Israel à l'Ukraine rappelle son soutien  au régime d'apartheid de l'Afrique du Sud, et au financement de Jean Marie Le Pen il y a qq années...source de première main.  L'Afrique du Sud a finalement renoncé à la bombe, contrairement à Israël.;10;8;[]
2022-05-05 12:15:35;Toute la presse Mainstream est de droite et à la botte d’un nain bouffi d’orgueil. Ils ont fabriqué Macron et Le Pen. MAINTENANT, comme tous les droitards, ILS ONT PEUR, et que dire des opportunistes tels que Glucksman par exemple. Cette engeance indécente est haïssable.;15;5;[]
2022-05-05 12:15:21;🏛 @AymericDurox sera-t-il le premier député RN en Ile-de-France depuis 1986 ? C’est possible : 👉🏻 56,5% pour Marine Le Pen, en nette progression (+6) 👉🏻 Contexte politique intéressant avec l’abandon de Christian Jacob 👉🏻 Élu implanté Aucune voix ne doit lui manquer ! 💪🏻;31;16;[]
2022-05-05 12:11:24;🎙️ Je serai fier d'être le premier député de Moselle issu du Rassemblement National car le combat que nous menons est un combat juste, les Français l'ont compris en plaçant Marine Le Pen comme leader de l'opposition. #Legislatives2022  https://t.co/2svb9aTMDW;32;12;['legislatives2022']
2022-05-05 12:10:16;Vonderleyen est une extrémiste politique dans tous les domaines : -obligation vaccinale -guerre en Ukraine -sanctions contre la Hongrie désobéissante,...  A côté d'elle une @MLP_officiel ou un @ZemmourEric sont des enfants de choeur...  @YvesPDB @Vengeur70415756 @Medic4allHuman;35;21;[]
2022-05-05 12:09:34;Jean-Luc Mélenchon (37%) est considéré comme le premier opposant à Emmanuel Macron par les Français, devant Marine Le Pen (33%) (source : sondage ELABE).;81;15;[]
2022-05-05 12:09:31;🟦⬜️🟥 Je résume l’enjeu historique de ces élections législatives : ce sera la victoire des islamo-gauchistes contre les patriotes 😭 SVP @MLP_officiel @ZemmourEric le 12 juin vous avez rdv avec l’histoire ! Faites le choix de la raison et de la France ! Nous comptons sur vous 🙏;9;3;[]
2022-05-05 12:05:11;@EleonoreBez @MLP_officiel On affiche les chiffres que l’on veut. Retirez les voix de Reconquête du 2eme tour et vous aurez les vrais chiffres.;10;2;[]
2022-05-05 12:04:31;Le Pen c’est une catastrophe depuis la fin du 1 er tour !;7;1;[]
2022-05-05 12:03:35;Bonjour Twitter. Contrairement à ce qu'on vous raconte dans les médias sur Mélenchon et #Poutine mais c'est bien Marine Le Pen qui a reçu un  financement de 9,3 millions d'euros de la Russie.    #NUPES #Elections2022 #legislatives2022  https://t.co/ErwJJRCI9J;15;17;['poutine', 'nupes', 'elections2022', 'legislatives2022']
2022-05-05 12:01:11;Il comprend justement très bien pourquoi ! La sarl Lepen ne partage pas les dotations. Les cadres RN s il en reste, porteront seuls, la responsabilité des 5 années qui nous attendent. LFi a fait l union des gauches alors que les divergences sont bien plus grandes !;15;8;[]
2022-05-05 12:00:10;@BSengayrac @2022Elections @Cluster_17 Ben oui. C'est pas comme si c'était un des institus qui s'etait le moins planté pr le 1er tour, prévoyant un écart de 2 points entre le pen et jlm tablaient un écart de 5 à 8 points, entre autres ^^;7;0;[]
2022-05-05 12:00:01;🔴 ENTRETIENT D'ACTU #1 - SPÉCIAL ÉLECTIONS 2022   Au programme : UMPS c'est fini ? Peut-on parler de 3 grands blocs ? Marine LePen fasciste ? Macron II qu'est-ce qui nous attend ? Un 3ème tour ? L'Union Populaire ? Que faire les prochaines années ?  ➡️ https://t.co/OXbBUrMzPr⬅️  https://t.co/kKFybR2X9Z;15;11;[]
2022-05-05 11:58:46;#Poutine  menace l 'Europe,ses admirateurs #poutinophiles #europhobes pèsent encore trop. Il est temps que la France humaniste se redresse. Aucun siège pour les #LePen, #Zemmour et #Mélenchon #legislatives2022  https://t.co/xRpuHvvPkB;8;7;['poutine', 'poutinophiles', 'europhobes', 'lepen', 'zemmour', 'mélenchon', 'legislatives2022']
2022-05-05 11:57:01;C'est comme avec Le Pen père : j'ai rien à voir avec eux mais je reste impressionné par leur maitrise de la punchline.;7;0;[]
2022-05-05 11:54:59;@EleonoreBez @MLP_officiel Il faut retirer les voix des électeurs anti Macron et de @Reconquete_off;5;0;[]
2022-05-05 11:54:05;Marine Le Pen est née le 5 août 1968.  En mai 2037, elle aura 68 ans. Un âge tout à fait raisonnable pour, une fois de plus (« Cette fois ci, c'est la bonne ») se présenter aux présidentielles, faire gagner le candidat du Système et faire perdre la France.  Nous sommes au rouet.;11;4;[]
2022-05-05 11:50:29;Parler de colonne vertébrale, de convictions et oser critiquer la gauche quand ton parti est fascisant et a mis Le Pen deux fois au second tour, quelle audace.;10;0;[]
2022-05-05 11:50:07;@mclucal Ils mettent 10x fois plus d'énergie à faire campagne contre Meluche que contre Lepen... Je crois que les dirigeants ont choisi leur camp;9;0;[]
2022-05-05 11:45:00;@EleonoreBez @MLP_officiel Je peux pouvoir dire avec certitude que vous êtes en train d'enfumer vos électeurs. Combien de département? De région ? De grandes villes?;7;1;[]
